,rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
0,BFQV6KTUX7K3CP48.JRTCKXETXF.6YS6EN2CT7,10.18368,US East (Ohio),General purpose,128,m6idn.32xlarge,512.0,4 x 1900 SSD,200000 Megabit,Linux,General Purpose,Linux,NA,No License required
1,BERDMNGW94ZEU6QJ.JRTCKXETXF.6YS6EN2CT7,0.6528,US East (Ohio),General purpose,16,m7g.4xlarge,64.0,EBS only,Up to 15 Gigabit,Linux,General Purpose,Linux,NA,No License required
2,BQPEB7HYTVEZPKJW.JRTCKXETXF.6YS6EN2CT7,0.0208,US East (Ohio),General purpose,2,t3.small,2.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
3,BQZZZARYEWGN3XUG.JRTCKXETXF.6YS6EN2CT7,7.2576,US East (Ohio),Compute optimized,128,c6in.32xlarge,256.0,EBS only,200000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
4,DRUR73KJWREKJ337.JRTCKXETXF.6YS6EN2CT7,5.57856,US East (Ohio),Memory optimized,64,r6in.16xlarge,512.0,EBS only,100000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
5,DRM894W87RNVKC9C.JRTCKXETXF.6YS6EN2CT7,2.672,US East (Ohio),Memory optimized,32,x2gd.8xlarge,512.0,1 x 1900 SSD,12 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
6,DKJC6P99EK582542.JRTCKXETXF.6YS6EN2CT7,5.344,US East (Ohio),Memory optimized,64,x2gd.16xlarge,1024.0,2 x 1900 SSD,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
7,DCAN3UYA4WAGA2DP.JRTCKXETXF.6YS6EN2CT7,12.50496,US East (Ohio),Memory optimized,128,r6idn.32xlarge,1024.0,4 x 1900 SSD,200000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
8,DCEDSU592GQNCDE3.JRTCKXETXF.6YS6EN2CT7,1.734,US East (Ohio),GPU instance,32,g4ad.8xlarge,128.0,1200 GB NVMe SSD,15 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
9,DJPGFVCZAKBSEZ3N.JRTCKXETXF.6YS6EN2CT7,5.52,US East (Ohio),Storage optimized,36,d2.8xlarge,244.0,24 x 2000 HDD,10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
10,DEYCADAD4CCXYTHA.JRTCKXETXF.6YS6EN2CT7,7.63776,US East (Ohio),General purpose,96,m6idn.24xlarge,384.0,4 x 1425 SSD,150000 Megabit,Linux,General Purpose,Linux,NA,No License required
11,D947XV3XRFYF58QP.JRTCKXETXF.6YS6EN2CT7,2.7648,US East (Ohio),Compute optimized,64,c6gn.16xlarge,128.0,EBS only,100 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
12,DBBN8V6AE5WQCCGZ.JRTCKXETXF.6YS6EN2CT7,0.312,US East (Ohio),Storage optimized,4,i3.xlarge,30.5,1 x 950 NVMe SSD,Up to 10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
13,DWACZZBP7VK58VJU.JRTCKXETXF.6YS6EN2CT7,4.8384,US East (Ohio),Memory optimized,64,r6id.16xlarge,512.0,2 x 1900 SSD,25000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
14,DWQDRJ9AWUJ8BZKH.JRTCKXETXF.6YS6EN2CT7,13.338,US East (Ohio),Memory optimized,128,x1.32xlarge,1952.0,2 x 1920 SSD,High,Linux,Memory Optimized,Linux,NA,No License required
15,DTR7TV6QJDGRZPY3.JRTCKXETXF.6YS6EN2CT7,0.0384,US East (Ohio),Compute optimized,1,c6gd.medium,2.0,1 x 59 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
16,DU4PGFNABH466WST.JRTCKXETXF.6YS6EN2CT7,5.424,US East (Ohio),General purpose,96,m5d.metal,384.0,4 x 900 NVMe SSD,25 Gigabit,Linux,General Purpose,Linux,NA,No License required
17,DBKA4F5TG2FX3D2E.JRTCKXETXF.6YS6EN2CT7,2.064,US East (Ohio),General purpose,48,m5a.12xlarge,192.0,EBS only,10 Gigabit,Linux,General Purpose,Linux,NA,No License required
18,EE9WDWPYWXY84HCQ.JRTCKXETXF.6YS6EN2CT7,0.252,US East (Ohio),Memory optimized,4,r6i.xlarge,32.0,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
19,EED27S48BR48WD8R.JRTCKXETXF.6YS6EN2CT7,4.45536,US East (Ohio),General purpose,64,m6in.16xlarge,256.0,EBS only,100000 Megabit,Linux,General Purpose,Linux,NA,No License required
20,E797PRUASNHCBEEP.JRTCKXETXF.6YS6EN2CT7,0.408,US East (Ohio),General purpose,16,a1.metal,32.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
