,series,nameLocKey,instanceName,cores,category,ram,tier,hasPayGo,isInPreview,diskSize,type,hasSpot,isVcpu,isConstrainedCore,isBaseVm,activeCores,productId,nvMeDisk,gpu,fpga,pmem
0,av2,a1v2,A1 v2,1,generalpurpose,2.0,standard,True,False,10.0,linux,True,False,False,True,,,,,,
1,av2,a2mv2,A2m v2,2,generalpurpose,16.0,standard,True,False,20.0,linux,True,False,False,True,,,,,,
2,av2,a2v2,A2 v2,2,generalpurpose,4.0,standard,True,False,20.0,linux,True,False,False,True,,,,,,
3,av2,a4mv2,A4m v2,4,generalpurpose,32.0,standard,True,False,40.0,linux,True,False,False,True,,,,,,
4,av2,a4v2,A4 v2,4,generalpurpose,8.0,standard,True,False,40.0,linux,True,False,False,True,,,,,,
5,av2,a8mv2,A8m v2,8,generalpurpose,64.0,standard,True,False,80.0,linux,True,False,False,True,,,,,,
6,av2,a8v2,A8 v2,8,generalpurpose,16.0,standard,True,False,80.0,linux,True,False,False,True,,,,,,
7,bs,b12ms,B12ms,12,generalpurpose,48.0,standard,True,False,96.0,linux,False,False,False,True,,,,,,
8,bs,b16ms,B16ms,16,generalpurpose,64.0,standard,True,False,128.0,linux,False,False,False,True,,,,,,
9,bs,b1ls,B1ls,1,generalpurpose,0.5,standard,True,False,4.0,linux,False,False,False,True,,,,,,
10,bs,b1ms,B1ms,1,generalpurpose,2.0,standard,True,False,4.0,linux,False,False,False,True,,,,,,
11,bs,b1s,B1s,1,generalpurpose,1.0,standard,True,False,4.0,linux,False,False,False,True,,,,,,
12,bs,b20ms,B20ms,20,generalpurpose,80.0,standard,True,False,160.0,linux,False,False,False,True,,,,,,
13,bs,b2ms,B2ms,2,generalpurpose,8.0,standard,True,False,16.0,linux,False,False,False,True,,,,,,
14,bs,b2s,B2s,2,generalpurpose,4.0,standard,True,False,8.0,linux,False,False,False,True,,,,,,
15,bs,b4ms,B4ms,4,generalpurpose,16.0,standard,True,False,32.0,linux,False,False,False,True,,,,,,
16,bs,b8ms,B8ms,8,generalpurpose,32.0,standard,True,False,64.0,linux,False,False,False,True,,,,,,
17,dv2,d11v2,D11 v2,2,memoryoptimized,14.0,standard,True,False,100.0,linux,True,True,False,True,,,,,,
18,dv2,d12v2,D12 v2,4,memoryoptimized,28.0,standard,True,False,200.0,linux,True,True,False,True,,,,,,
19,dv2,d13v2,D13 v2,8,memoryoptimized,56.0,standard,True,False,400.0,linux,True,True,False,True,,,,,,
20,dv2,d14v2,D14 v2,16,memoryoptimized,112.0,standard,True,False,800.0,linux,True,True,False,True,,,,,,
21,dv2,d15iv2,D15i v2,20,memoryoptimized,140.0,standard,True,False,1000.0,linux,True,True,False,True,,,,,,
22,dv2,d15v2,D15 v2,20,memoryoptimized,140.0,standard,True,False,1000.0,linux,True,True,False,True,,,,,,
23,dadsv5,d16adsv5,D16ads v5,16,generalpurpose,64.0,standard,True,False,600.0,linux,True,True,False,True,,,,,,
24,dasv4,d16asv4,D16as v4,16,generalpurpose,64.0,standard,True,False,128.0,linux,True,True,False,True,,,,,,
25,dasv5,d16asv5,D16as v5,16,generalpurpose,64.0,standard,True,False,,linux,True,True,False,True,,,,,,
26,dav4,d16av4,D16a v4,16,generalpurpose,64.0,standard,True,False,400.0,linux,True,True,False,True,,,,,,
27,ddsv4,d16dsv4,D16ds v4,16,generalpurpose,64.0,standard,True,False,600.0,linux,True,True,False,True,,,,,,
28,ddsv5,d16dsv5,D16ds v5,16,generalpurpose,64.0,standard,True,False,600.0,linux,True,True,False,True,,,,,,
29,ddv4,d16dv4,D16d v4,16,generalpurpose,64.0,standard,True,False,600.0,linux,True,True,False,True,,,,,,
30,ddv5,d16dv5,D16d v5,16,generalpurpose,64.0,standard,True,False,600.0,linux,True,True,False,True,,,,,,
31,dpdsv5,d16pdsv5,D16pds v5,16,generalpurpose,64.0,standard,True,False,600.0,linux,True,True,False,True,,,,,,
32,dpldsv5,d16pldsv5,D16plds v5,16,generalpurpose,32.0,standard,True,False,600.0,linux,True,True,False,True,,,,,,
33,dplsv5,d16plsv5,D16pls v5,16,generalpurpose,32.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
34,dpsv5,d16psv5,D16ps v5,16,generalpurpose,64.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
35,dsv3,d16sv3,D16s v3,16,generalpurpose,64.0,standard,True,False,128.0,linux,True,True,False,True,,,,,,
36,dsv4,d16sv4,D16s v4,16,generalpurpose,64.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
37,dsv5,d16sv5,D16s v5,16,generalpurpose,64.0,standard,True,False,,linux,True,True,False,True,,,,,,
38,dv3,d16v3,D16 v3,16,generalpurpose,64.0,standard,True,False,400.0,linux,True,True,False,True,,,,,,
39,dv4,d16v4,D16 v4,16,generalpurpose,64.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
40,dv5,d16v5,D16 v5,16,generalpurpose,64.0,standard,True,False,,linux,True,True,False,True,,,,,,
41,dv2,d1v2,D1 v2,1,generalpurpose,3.5,standard,True,False,50.0,linux,True,True,False,True,,,,,,
42,dadsv5,d2adsv5,D2ads v5,2,generalpurpose,8.0,standard,True,False,75.0,linux,True,True,False,True,,,,,,
43,dasv4,d2asv4,D2as v4,2,generalpurpose,8.0,standard,True,False,16.0,linux,True,True,False,True,,,,,,
44,dasv5,d2asv5,D2as v5,2,generalpurpose,8.0,standard,True,False,,linux,True,True,False,True,,,,,,
45,dav4,d2av4,D2a v4,2,generalpurpose,8.0,standard,True,False,50.0,linux,True,True,False,True,,,,,,
46,ddsv4,d2dsv4,D2ds v4,2,generalpurpose,8.0,standard,True,False,75.0,linux,True,True,False,True,,,,,,
47,ddsv5,d2dsv5,D2ds v5,2,generalpurpose,8.0,standard,True,False,75.0,linux,True,True,False,True,,,,,,
