,currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,instanceName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate
0,USD,0.0,4.838,4.838,southcentralus,US South Central,2020-08-01T00:00:00Z,0016083a-928f-56fd-8eeb-39287dcf676d,E64 v4,DZH318Z0D1L7,DZH318Z0D1L7/0058,,Virtual Machines Ev4 Series,E64 v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64_v4,
5,USD,0.0,9.357,9.357,southcentralus,US South Central,2022-04-01T00:00:00Z,00be1135-9b33-524d-80dd-58863f7db170,E64bds v5,DZH318Z09LQN,DZH318Z09LQN/0013,,Virtual Machines Ebdsv5 Series Windows,Standard_E64bds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64bds_v5,
10,USD,0.0,0.302,0.302,southcentralus,US South Central,2020-08-01T00:00:00Z,011a3d6d-c056-5644-944d-8508968fa782,E4s v4,DZH318Z0CSHL,DZH318Z0CSHL/00XQ,,Virtual Machines Esv4 Series,E4s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4s_v4,
12,USD,0.0,1.356,1.356,southcentralus,US South Central,2021-11-01T00:00:00Z,01250768-e0a3-59aa-b4b2-5d48491edc81,E20as v5,DZH318Z093WZ,DZH318Z093WZ/00C8,,Virtual Machines Easv5 Series,E20as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E20as_v5,
19,USD,0.0,2.949,2.949,southcentralus,US South Central,2022-09-01T00:00:00Z,018edf2b-60be-5538-8ee3-6c13003501ab,D64plds v5,DZH318Z092QL,DZH318Z092QL/006P,,Virtual Machines Dpldsv5 Series,Standard_D64plds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64plds_v5,
21,USD,0.0,1.32,1.32,southcentralus,US South Central,2022-06-01T00:00:00Z,01cdc93f-6ec0-5514-a262-7be77a5fd052,NC8ads_A10_v4,DZH318Z0BCGZ,DZH318Z0BCGZ/002V,,Virtual Machines NCadsA10v4 Series,Standard_NC8ads_A10_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC8ads_A10_v4,
22,USD,0.0,4.656,4.656,southcentralus,US South Central,2019-06-01T00:00:00Z,01d601bc-0504-4572-abcb-894ae65c70bb,F48s v2,DZH318Z0BPWJ,DZH318Z0BPWJ/00MH,,Virtual Machines FSv2 Series Windows,F48s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_F48s_v2,
26,USD,0.0,0.09,0.09,southcentralus,US South Central,2014-03-29T00:00:00Z,02124380-8638-4b50-a284-bc93cc236d93,A1,DZH318Z0BPVJ,DZH318Z0BPVJ/0011,,Virtual Machines A Series Windows,A1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A1,
32,USD,0.0,3.686,3.686,southcentralus,US South Central,2021-11-01T00:00:00Z,0275bf76-da81-5564-aaf2-fa421e60c80a,D64 v5,DZH318Z08M9X,DZH318Z08M9X/00F4,,Virtual Machines Dv5 Series,Standard_D64_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64_v5,
35,USD,0.0,1.085,1.085,southcentralus,US South Central,2021-11-01T00:00:00Z,02ae71a7-b17c-5c56-9e6b-aacf28c33a9e,D16d v5,DZH318Z08MC2,DZH318Z08MC2/0012,,Virtual Machines Ddv5 Series,Standard_D16d_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D16d_v5,
37,USD,0.0,0.558,0.558,southcentralus,US South Central,2020-06-01T00:00:00Z,02d5174e-b1b7-5840-bca2-f3c4f598ba26,E4-2ds v4,DZH318Z0CSHB,DZH318Z0CSHB/00ZT,,Virtual Machines Edsv4 Series Windows,E4-2ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4-2ds_v4,
